,pred_kld_2,kld_2,ratio_num_2,cid,pred_kld_3,kld_3,ratio_num_3
79,0.03935685848749766,0.038906030625206006,93,104,0.04620104458584136,0.03693346634437627,36
80,0.020472303168908232,0.017276418326887803,76,105,0.02574757904182543,0.025622212273031283,4
81,0.040512603027572175,0.040483319591206504,103,107,0.05864294563940346,0.050221577892594696,45
82,0.12568303877142784,0.11583594502476113,60,109,0.11792672239376156,0.11668005860362908,-16
83,0.028419883407628098,0.024792499753183466,82,112,0.043290851380644944,0.03931296166769574,25
84,0.1628491244570976,0.15948272254000276,118,113,0.18913223308580351,0.1293563522662796,85
85,0.27063041391519393,0.266270060639504,120,115,0.2876477003486377,0.2437587169830321,86
86,0.7873683573708223,0.7863944990674584,118,117,0.7927738178765283,0.7378332814018604,105
87,0.050313923159485574,0.047395678891814036,83,118,0.05137503385784198,0.045192900306422285,27
88,0.07302825621732041,0.07268978639170487,113,119,0.0766864147234342,0.051956464277711806,97
89,0.024737449486603724,0.024438310431095515,104,121,0.08015491266116065,0.026593830553060267,68
90,0.11886492092994584,0.11881097036993865,93,122,0.13108758702604115,0.1309060084105915,-10
91,0.03915804248723506,0.03889386083449644,92,123,0.06512153860907119,0.05844202117984849,43
92,0.07593920208930519,0.07582965002276275,95,124,0.08308433369678994,0.08230690982001132,16
93,0.06677257192529559,0.06675367868285949,101,125,0.09380332218434849,0.05626549085414326,65
94,0.12462297760188437,0.12443988915984786,105,126,0.13829354940471372,0.1313478816824934,43
95,0.14327643836634896,0.1407949823743716,109,127,0.25637126246606157,0.15238050220899585,86
96,0.09456350532275008,0.09370217928727503,92,130,0.09397564051619854,0.07677397331694041,45
97,0.03200632888420262,0.0247601566586187,46,134,0.08393115625399095,0.0815022786524594,30
98,0.04571032628388948,0.031075015874203978,64,135,0.060225809676551216,0.05063043244875981,34
99,0.40356212780929035,0.3931639484485957,130,136,0.44181552903163973,0.39083918433948434,91
100,0.21784107839337377,0.1961233922826004,171,138,0.23024489927460212,0.18962501489756478,110
101,0.10782910141122104,0.10760597414686833,94,140,0.12859732598653933,0.1243243974933143,30
102,0.031070046398504914,0.02931225181062306,90,142,0.03845729089664163,0.02162921779281475,41
103,0.10717719479525074,0.10690012712124937,95,145,0.12053396202400696,0.10990297627414894,39
104,0.10518926172274295,0.10518926172274295,100,146,0.22077045147121027,0.12066148124212753,74
105,0.14608443181151987,0.14507284932328954,80,147,0.16776381329244988,0.16511031945671573,31
106,0.44172865566260744,0.4397460513827898,110,149,0.4966470910178481,0.44657047083771745,77
107,0.11108508287871413,0.10175898863054343,50,150,0.12488660116104827,0.1243318820573045,-9
108,0.06342049908679825,0.061716122715826216,127,151,0.06850968014378844,0.05958772141888469,52
109,0.038206300612072086,0.03727468021009557,89,152,0.0408083905972611,0.03981327547963123,15
110,0.05309582346127225,0.049554876435438086,84,154,0.057600317436618594,0.052988521505125404,25
111,0.030509562476072376,0.025755269715777976,70,157,0.03300709212509502,0.032795634852642426,-6
112,0.40978779457023823,0.4063348337204583,113,159,0.5674441809410983,0.4253562526607426,109
