index,count,count_CCR,count_cys,shape_kid,shape_CCR,shape_cys,lumi_mean,lumi_std,lumi_max,lumi_min,lumi_mean_SE2_CCR,lumi_std_SE2_CCR,lumi_max_SE2_CCR,lumi_min_SE2_CCR,lumi_mean_SE2_cys,lumi_std_SE2_cys,lumi_max_SE2_cys,lumi_min_SE2_cys,lumi_mean_SE3_kid,lumi_std_SE3_kid,lumi_max_SE3_kid,lumi_min_SE3_kid,lumi_mean_SE3_CCR,lumi_std_SE3_CCR,lumi_max_SE3_CCR,lumi_min_SE3_CCR,lumi_mean_SE3_cys,lumi_std_SE3_cys,lumi_max_SE3_cys,lumi_min_SE3_cys
11,258030,22039.0,15520.0,57,19,36,106.64426617060032,73.09841401284484,308,-131,128.02014610463272,42.77677938162524,282.0,-47.0,9.963144329896908,18.970906439707026,182.0,-122.0,125.31212,68.8952,239.59521,-108.48047,108.87246999999999,32.007903999999996,226.31079,-38.978394,10.189162,15.380417000000001,160.11133,-100.70215
12,614652,292828.0,80.0,62,44,2,114.99173353377195,66.54195520408628,628,-171,106.54064502028494,55.38703399516355,628.0,-91.0,126.1,31.625780622776734,193.0,48.0,91.35743000000001,46.32917,513.46594,-102.43677,77.76954,27.293793,513.46594,-78.380615,144.96068,12.400644,169.31445,112.4718
13,381387,14804.0,447.0,54,21,8,118.56377118255209,62.83871157982481,326,-350,123.09105647122401,45.6001835499785,262.0,-68.0,112.69127516778522,43.381286390429786,201.0,32.0,152.81804,61.512154,296.3694,-200.64928999999998,101.55159,34.15762,202.64075,-86.48633000000001,190.50813,23.42991,250.2749,141.00903
14,449899,8859.0,69930.0,67,13,41,79.03658154385762,67.79568356739566,265,-152,72.98803476690371,35.527296790108764,197.0,-73.0,9.841555841555842,37.42156608758335,282.0,-146.0,109.47176999999999,76.68089,234.88696000000002,-123.753174,84.26332,41.680347,197.43433000000002,-56.842833999999996,13.172277,38.65334,202.27063,-125.071045
15,324863,4765.0,5007.0,48,13,15,116.85918371744397,87.17475758981138,373,-172,155.80272822665268,65.64382024466079,300.0,-62.0,74.62432594367884,77.64147727104404,284.0,-43.0,112.4033,70.88812,252.15784,-122.627625,105.32356999999999,40.452263,187.5747,-96.466675,63.78278,59.136204000000006,197.31311000000002,-50.330566
16,538923,8671.0,,127,23,0,99.61123203129203,73.92316044795959,1501,-222,51.657478952831276,31.404119826387557,195.0,-79.0,,,,,181.84177,89.161934,1330.3379,-177.40424,84.70779,42.764973,272.73547,-78.462036,,,,
17,445454,13703.0,43.0,67,15,5,94.06236109676868,64.39822652547845,299,-138,128.7488871050135,43.29632846687858,232.0,-95.0,64.20930232558139,82.23210433422085,159.0,-89.0,82.83258000000001,50.966152,158.08801,-116.829834,103.33205,29.2041,152.474,-91.089355,44.855,63.305893000000005,131.51587,-75.93878000000001
18,286346,8626.0,68.0,53,13,1,109.52415609088304,53.12117379596335,309,-361,89.81660097380012,42.559231461076095,232.0,-40.0,50.63235294117647,25.578543634532203,129.0,0.0,181.15,55.580234999999995,306.42847,-214.58832,102.633606,48.183826,231.5636,-37.14569,160.02467,49.142006,232.53063999999998,64.37536999999999
19,270279,5632.0,36.0,54,10,5,134.97558078874053,88.66668567027746,416,-145,91.3075284090909,53.83738496646733,266.0,-115.0,224.25,25.459526704163213,255.0,139.0,121.57384499999999,67.588776,231.18542000000002,-134.32312,71.33515,43.470566,197.64185,-86.40405,165.40031000000002,19.157618,199.94568,111.50133999999998
21,315826,1831.0,,50,8,0,140.29187590635348,81.3494171302696,394,-127,206.200436919716,57.85407658803212,300.0,-82.0,,,,,165.71632,67.54305,299.15747000000005,-115.329895,135.4415,41.950759999999995,224.80566000000002,-70.61010999999999,,,,
