,index,count,count_CCR,count_cys,lumi_mean,right,left,slices,spacing_xy,spacing_z,up_kid_slice,down_kid_slice,st,en,origin_0,origin_1,origin_2
83,83,247334,29038.0,0.0,87.68760461562097,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
84,84,457739,44579.0,0.0,127.50552825955404,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
85,85,411489,5239.0,33614.0,149.16800206080842,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
86,86,1082267,656521.0,0.0,123.579677658101,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
87,87,1340236,938840.0,1186.0,72.03814999746314,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
88,88,601638,10632.0,220840.0,97.67982075600278,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
89,89,417529,96392.0,0.0,102.18732112020962,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
90,90,590766,159229.0,0.0,117.01541388637804,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
91,91,679953,7791.0,214.0,133.12370413837428,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
92,92,365289,14879.0,0.0,150.02707992849497,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
93,93,257499,699.0,0.0,158.45036291403073,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
94,94,391362,7179.0,9367.0,129.4759659854559,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
95,95,581488,6639.0,0.0,129.0521455300883,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
96,96,341765,637.0,0.0,114.90911006100686,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
97,97,481039,187320.0,2222.0,123.98667259827164,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
98,98,441912,46960.0,0.0,146.64244691250747,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
99,99,353302,5262.0,6704.0,138.6894951061698,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
100,100,1855627,1410687.0,175.0,66.74006252334117,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
101,101,315781,114739.0,225.0,130.388573093378,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
102,102,609010,10260.0,0.0,144.73281719511994,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
103,103,393284,34120.0,693.0,160.97231517173338,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
104,104,563086,304704.0,1992.0,130.98876192979404,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
105,105,609813,16116.0,261.0,84.89463983221086,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
106,106,316556,53594.0,163.0,135.74745068802991,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
107,107,379434,8918.0,1270.0,139.02258890874302,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
108,108,690376,4979.0,0.0,148.48994171292162,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
109,109,431353,35706.0,55320.0,80.82743831618188,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
110,110,350154,128052.0,228.0,67.6530783598074,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
111,111,245366,1762.0,1077.0,147.8573885542414,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
112,112,947520,10720.0,141995.0,133.89327402060115,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
113,113,222267,0.0,78706.0,27.59788002717453,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
